grade,sensor,short_name,level,format,daac,s3_region,consolidated_md,grid_aligned,chunk_aligned,time_dim,chunk_shape,chunk_mb,n_granules,volume_tb,dmrpp,blocker,chunk_shape_stable,concat_ok,cf_stable,headline_var,n_data_vars,n_comparable_vars,chunk_evidence,concat_evidence,md_evidence,grid_evidence,size_evidence,time_evidence,sample_differs,pinned_to,difference_kept_because,orbit_dirs,n_probed,n_attempted,n_sampled,unopened
D,CERES,CERES_EBAF,L4,netCDF-4,NASA/LARC/SD/ASDC,us-west-2,no,yes,no,yes,104×60×120,1.432,3,0.006,yes,"H2: chunk shape differs across granules (123 of 248 variables — cldarea_total_daynight_mon: [104, 60, 120] vs [105, 60, 120])",no,yes,yes,cldarea_total_daynight_mon,248,248,"chunk shape differs across granules (123 of 248 variables — cldarea_total_daynight_mon: [104, 60, 120] vs [105, 60, 120])",granule shapes identical; concatenates on a new or length-one axis,"median 42 blocks in 42 runs, 10% leading",identical grid across granules — measured lat/lon on 2 granules; step 1.0,cldarea_total_daynight_mon: median stored chunk 1.432 MB in 27 chunks,"dimension ""time""",,,,,2,2,2,
D,GPM/DPR,GPM_2ADPR,L2,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,us-west-2,no,no,no,no,15×49×176×2,0.448,70448,26.899,yes,H3: interior partial chunk on concatenation (274 of 274 variables) — FS/PRE/zFactorMeasured dim 1: size 7925 not a multiple of chunk 15,yes,no,yes,FS/PRE/zFactorMeasured,274,274,one chunk shape per variable across 274 variables in 4 granules,interior partial chunk on concatenation (274 of 274 variables) — FS/PRE/zFactorMeasured dim 1: size 7925 not a multiple of chunk 15,"median 28 blocks in 26 runs, 4% leading","swath geometry: no projected grid, geolocation is a per-pixel array",FS/PRE/zFactorMeasured: median stored chunk 0.448 MB in 531 chunks,no time dimension,,,,,4,4,4,
D,ICESat-2/ATLAS,ATL03,L2A,HDF5,NASA NSIDC DAAC,us-west-2,yes,no,no,yes,100000,0.458,583529,413.627,yes,H3: interior partial chunk on concatenation (560 of 1007 variables) — gt3r/heights/lat_ph dim 1: size 6227159 not a multiple of chunk 100000,yes,no,yes,gt3r/heights/lat_ph,1007,1007,one chunk shape per variable across 1007 variables in 4 granules,interior partial chunk on concatenation (560 of 1007 variables) — gt3r/heights/lat_ph dim 1: size 6227159 not a multiple of chunk 100000,"median 4 blocks in 2 runs, 75% leading","swath geometry: no projected grid, geolocation is a per-pixel array",gt3r/heights/lat_ph: median stored chunk 0.458 MB in 46 chunks,"dimension ""ancillary_data/start_delta_time""",,,,,4,4,4,
D,ICESat-2/ATLAS,ATL06,L3,HDF5,NASA NSIDC DAAC,us-west-2,yes,—,no,yes,10000×748,0.339,438157,18.378,yes,H3: interior partial chunk on concatenation (488 of 551 variables) — gt3l/residual_histogram/count dim 1: size 491 not a multiple of chunk 10000,yes,no,yes,gt3l/residual_histogram/count,551,551,one chunk shape per variable across 551 variables in 4 granules,interior partial chunk on concatenation (488 of 551 variables) — gt3l/residual_histogram/count dim 1: size 491 not a multiple of chunk 10000,"median 3 blocks in 2 runs, 50% leading","no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent",gt3l/residual_histogram/count: median stored chunk 0.339 MB in 1 chunks,"dimension ""crossing_time""",,,,,4,4,4,
D,ISS/GEDI,GEDI02_B,L2B,HDF5,LP DAAC,us-west-2,partial,no,no,partial,14200,0.006,96872,5.306,no,H3: interior partial chunk on concatenation (112 of 1664 variables) — BEAM1000/rx_processing/pgap_theta_z_a10 dim 1: size 45160 not a multiple of chunk 14200,partial,no,yes,BEAM1000/rx_processing/pgap_theta_z_a10,1664,1664,"chunk shape differs for smaller variables (1472 of 1664 variables — BEAM0110/geolocation/elevation_bin0_a1: [9299] vs [14200]); BEAM1000/rx_processing/pgap_theta_z_a10 is stable, so a cube over it is available",interior partial chunk on concatenation (112 of 1664 variables) — BEAM1000/rx_processing/pgap_theta_z_a10 dim 1: size 45160 not a multiple of chunk 14200,"median 150 blocks in 1 runs, 6% leading","swath geometry: no projected grid, geolocation is a per-pixel array",BEAM1000/rx_processing/pgap_theta_z_a10: median stored chunk 0.006 MB in 50 chunks — latency-bound,"time variable ""beam0000/delta_time"" but no time dimension","O01753, O37238, T01683, T09057",,"the orbit and track numbers index position along the record, not a partition",,3,4,4,chunk index could not be read within the probe budget — exceeded the 480 s probe budget for one granule
D,MetOp-A/ASCAT,ASCATA-L2-Coastal,L2,netCDF-4,NASA/JPL/PODAAC,us-west-2,yes,no,no,partial,3251×82,0.17,57983,0.158,yes,"H2: chunk shape differs across granules (9 of 9 variables — bs_distance: [3251, 82] vs [3258, 82] vs [3264, 82])",no,yes,no,bs_distance,9,9,"chunk shape differs across granules (9 of 9 variables — bs_distance: [3251, 82] vs [3258, 82] vs [3264, 82])",granule shapes identical; concatenates on a new or length-one axis,"median 2 blocks in 1 runs, 42% leading","swath geometry: no projected grid, geolocation is a per-pixel array",bs_distance: median stored chunk 0.17 MB in 1 chunks,"time variable ""time"" but no time dimension",,,,,4,4,4,
D,NISAR/L-SAR,NISAR_L1_RSLC_PROVISIONAL_V1,L1,CSV+HDF5+KML+PDF+PNG+XML+YAML,ASF,us-west-2,yes,no,no,partial,512×512,0.989,121710,3169.88,no,"H3: granule extents differ on two or more axes (6 of 11 variables), so the granules are different regions rather than slices of one array — science/LSAR/RSLC/swaths/frequencyA/HH: 36480×52783 vs 53200×52968 vs 54720×52970 vs 54720×52967",partial,no,partial,science/LSAR/RSLC/swaths/frequencyA/HH,11,11,"chunk shape differs for smaller variables (5 of 11 variables — science/LSAR/RSLC/swaths/frequencyA/validSamplesSubSwath1: [36480, 2] vs [53200, 2] vs [54720, 2]); science/LSAR/RSLC/swaths/frequencyA/HH is stable, so a cube over it is available","granule extents differ on two or more axes (6 of 11 variables), so the granules are different regions rather than slices of one array — science/LSAR/RSLC/swaths/frequencyA/HH: 36480×52783 vs 53200×52968 vs 54720×52970 vs 54720×52967","median 4 blocks in 2 runs, 100% leading","swath geometry: granules agree on grid_mapping, which names a coordinate system without giving an origin or cell size",science/LSAR/RSLC/swaths/frequencyA/HH: median stored chunk 0.989 MB in 10972 chunks,"time variable ""science/lsar/rslc/metadata/attitude/time"" but no time dimension","F, N, P","track 004 ascending, frame 018, DHDH polarization","the mode and frame-coverage flags differ between acquisitions of one frame, which the fixed frame grid absorbs; the frame itself is pinned",,4,4,4,
D,PACE/OCI,PACE_OCI_L2_AOP,L2,netCDF-4,NASA/GSFC/SED/ESD/GCDC/OB.DAAC,us-west-2,no,no,no,partial,32×256×40,0.05,120491,28.902,no,H3: interior partial chunk on concatenation (20 of 31 variables) — geophysical_data/Rrs dim 1: size 1709 not a multiple of chunk 32,yes,no,yes,geophysical_data/Rrs,31,31,one chunk shape per variable across 31 variables in 4 granules,interior partial chunk on concatenation (20 of 31 variables) — geophysical_data/Rrs dim 1: size 1709 not a multiple of chunk 32,"median 54 blocks in 38 runs, 5% leading","swath geometry: no projected grid, geolocation is a per-pixel array",geophysical_data/Rrs: median stored chunk 0.05 MB in 1350 chunks,"time variable ""scan_line_attributes/time"" but no time dimension",,,,,4,4,4,
D,SMAP/L-band radiometer,SPL2SMP_E,L2,HDF5,NASA NSIDC DAAC,us-west-2,partial,no,no,partial,269166,1.283,120087,3.197,no,H2: chunk shape differs across granules (92 of 92 variables — Soil_Moisture_Retrieval_Data/tb_time_seconds: [269166] vs [268969] vs [267218] vs [268835]),no,yes,yes,Soil_Moisture_Retrieval_Data/tb_time_seconds,92,92,chunk shape differs across granules (92 of 92 variables — Soil_Moisture_Retrieval_Data/tb_time_seconds: [269166] vs [268969] vs [267218] vs [268835]),granule shapes identical; concatenates on a new or length-one axis,"median 25 blocks in 2 runs, 4% leading",grids differ — Soil_Moisture_Retrieval_Data_Polar/latitude spacing 0.028717041 vs 0.018031703,Soil_Moisture_Retrieval_Data/tb_time_seconds: median stored chunk 1.283 MB in 1 chunks,"time variable ""soil_moisture_retrieval_data/tb_time_seconds"" but no time dimension",,ascending half-orbits,,,4,4,4,
D,SWOT/KaRIn,SWOT_L2_HR_PIXC_2.0,L2,netCDF-4,NASA/JPL/PODAAC,us-west-2,partial,no,no,partial,402169,0.006,2996378,105.709,yes,H2: chunk shape differs across granules (83 of 83 variables — pixel_cloud/illumination_time: [402169] vs [410854] vs [384517] vs [386222]),no,yes,yes,pixel_cloud/illumination_time,83,83,chunk shape differs across granules (83 of 83 variables — pixel_cloud/illumination_time: [402169] vs [410854] vs [384517] vs [386222]),granule shapes identical; concatenates on a new or length-one axis,"median 29 blocks in 6 runs, 3% leading",grids differ — tvp/latitude spacing -1.2227e-5 vs -1.222e-5,pixel_cloud/illumination_time: median stored chunk 0.006 MB in 1 chunks — whole array in one request,"time variable ""pixel_cloud/illumination_time"" but no time dimension",,"pass 166, tile 299L",,,4,4,4,
